"health_district","hd_rural","year","total_pop","over_65","under_18","hispanic","black","no_ba","unempl","in_pov","median_hh_income","no_health_ins","snap","rent_under_30","have_internet_sub","total_jobs","perc_ba_jobs","perc_jobs_young_firms","bphigh_crudeprev","cancer_crudeprev","obesity_crudeprev","diabetes_crudeprev","mhlth_crudeprev","phlth_crudeprev","fid","health_access","region_type","name","id"
"Alexandria","urban","2015",149315,9.7525,17.7203,16.561,21.3749,38.6343,4.4056,8.3422,89134,14.3386,4.8685,54.462,88.7465,91189,0.3531,0.0825,26.5,5.7,27.1,8.3,10.9,9.1,1,0.4553,"urban","Alexandria","1"
"Alexandria","urban","2016",151473,10.0176,18.0309,16.7416,21.5735,37.9112,3.8985,9.7749,89200,14.2642,5.4567,53.2717,88.7465,94286,0.3607,0.0854,26.5,5.7,27.1,8.3,10.9,9.1,1,0.2498,"urban","Alexandria","1"
"Alexandria","urban","2017",154710,10.4964,18.0583,16.741,22.0561,38.1663,3.8068,10.4732,93370,13.7246,5.3202,54.5117,88.7465,93704,0.3574,0.0896,26.5,5.7,27.1,8.3,10.9,9.1,1,0.6007,"urban","Alexandria","1"
"Alexandria","urban","2018",156505,10.8259,18.3144,16.7707,21.8817,37.8967,3.1847,10.5928,96733,12.4059,5.0815,55.2463,89.8012,91009,0.3525,0,26.5,5.7,27.1,8.3,10.9,9.1,1,0.3708,"urban","Alexandria","1"
"Alexandria","urban","2019",157613,11.2719,18.166,16.6922,21.7539,36.9035,2.9638,10.3084,100939,10.9486,4.7678,56.5938,91.6102,91009,0.3525,0,26.5,5.7,27.1,8.3,10.9,9.1,1,0.4748,"urban","Alexandria","1"
"Alleghany","mixed","2015",178967,19.2203,20.6943,2.2507,5.7022,71.1715,4.9703,10.1332,49187.3333,7.3523,8.5215,53.23,76.6369,80718,0.1995,0.0723,34.9133,8.4948,31.6669,11.5072,12.6064,12.8419,2,0.5404,"mixed","Alleghany","2"
"Alleghany","mixed","2016",178901,19.8015,20.3677,2.3175,5.6053,71.1297,4.6828,9.7178,49157,7.1189,8.5654,55.4252,76.6369,82007,0.2025,0.0792,34.9133,8.4948,31.6669,11.5072,12.6064,12.8419,2,0.0764,"mixed","Alleghany","2"
"Alleghany","mixed","2017",178384,20.156,20.1582,2.4273,5.6059,70.2272,4.5723,9.4574,52658.1667,6.4141,8.7475,54.9169,76.6369,80249,0.2021,0.0711,34.9133,8.4948,31.6669,11.5072,12.6064,12.8419,2,0.2738,"mixed","Alleghany","2"
"Alleghany","mixed","2018",178305,20.6494,19.8559,2.5064,5.4435,69.9632,4.0479,9.1355,55628.6667,5.7813,7.5878,55.3375,78.4701,81899,0.2001,0,34.9133,8.4948,31.6669,11.5072,12.6064,12.8419,2,0.7566,"mixed","Alleghany","2"
"Alleghany","mixed","2019",178348,21.1799,19.7799,2.6179,5.5453,69.6133,3.3989,8.4701,56876.5,5.4647,7.5304,54.1854,81.3357,81899,0.2001,0,34.9133,8.4948,31.6669,11.5072,12.6064,12.8419,2,0.0016,"mixed","Alleghany","2"
"Arlington","urban","2015",223945,9.0759,16.6527,15.4632,8.4556,27.1152,3.6156,9.0393,105763,9.6731,4.3762,58.3315,90.2424,151123,0.3376,0.0871,23.4,5.3,20.1,6.8,9.9,7.6,3,0.6712,"urban","Arlington","3"
"Arlington","urban","2016",226092,9.3281,17.0493,15.3813,8.6146,26.3354,3.3376,8.7463,108706,8.5848,4.3691,58.2046,90.2424,152644,0.3485,0.0938,23.4,5.3,20.1,6.8,9.9,7.6,3,0.9144,"urban","Arlington","3"
"Arlington","urban","2017",229534,9.8256,17.2968,15.5476,8.8344,25.8666,3.1449,8.1602,112138,7.84,4.2391,58.2372,90.2424,154139,0.3439,0.0938,23.4,5.3,20.1,6.8,9.9,7.6,3,0.9658,"urban","Arlington","3"
"Arlington","urban","2018",231803,10.1306,17.5912,15.6081,8.9632,25.4387,2.8736,7.1508,117374,6.6018,3.7922,59.0083,90.7006,160028,0.3397,0,23.4,5.3,20.1,6.8,9.9,7.6,3,0.0859,"urban","Arlington","3"
